City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,lebanon,36.2081,-86.2911,21.03,31,0,0.45,US,1699909787
349,biltine,14.5333,20.9167,32.3,26,100,2.29,TD,1699910032
350,katsuura,35.1333,140.3,10.39,52,2,3.78,JP,1699910032
351,kidal,18.4411,1.4078,26.48,12,0,4.65,ML,1699910032
352,kahta,37.7855,38.6237,14.65,54,100,2.2,TR,1699910032
353,fang,19.9169,99.2145,20.32,98,100,0.27,TH,1699910032
354,sabha,27.0377,14.4283,20.16,44,0,5.48,LY,1699909742
355,hilo,19.7297,-155.09,26.17,81,75,3.09,US,1699910032
356,cuamba,-14.8031,36.5372,22.92,79,85,1.18,MZ,1699910032
357,redencao,-4.2258,-38.7306,27.04,64,4,3.16,BR,1699910032
358,lusambo,-4.9667,23.45,21.59,94,100,0.68,CD,1699910033
